From,To,Beta
C3,C4,4.214263190974949
C4,C3,4.214263190974949
C6,C8,2.8213030964052024
C8,C6,2.8213030964052024
C10,S2,2.988242725941645
S2,C10,2.988242725941645
C10,S3,2.891569247876193
S3,C10,2.891569247876193
C4,S3,7.365957379353792
S3,C4,7.365957379353792
C7,S2,5.111853545913764
S2,C7,5.111853545913764
D0,C2,4.005894345869862
C2,D0,4.005894345869862
C2,C9,9.051119082064268
C9,C2,9.051119082064268
C2,C7,5.762975317870901
C7,C2,5.762975317870901
C4,C9,9.41262374593151
C9,C4,9.41262374593151
C2,C4,4.402123913970712
C4,C2,4.402123913970712
D0,S2,9.75050060474415
S2,D0,9.75050060474415
C2,C3,3.221493946738736
C3,C2,3.221493946738736
S2,S3,3.0829758303914985
S3,S2,3.0829758303914985
C8,C9,5.344398350146512
C9,C8,5.344398350146512
C3,C6,2.016280389300017
C6,C3,2.016280389300017
D0,C10,7.798662907582144
C10,D0,7.798662907582144
C3,S1,3.7997973977108574
S1,C3,3.7997973977108574
