From,To,Beta
C3,C8,7.340831863993151
C8,C3,7.340831863993151
D0,C7,1.4822319991462802
C7,D0,1.4822319991462802
C4,S2,3.3196411390031946
S2,C4,3.3196411390031946
C5,C10,9.158103373061927
C10,C5,9.158103373061927
C7,S2,1.881687234637071
S2,C7,1.881687234637071
C5,C9,7.074187320263275
C9,C5,7.074187320263275
C1,C10,6.007947166547135
C10,C1,6.007947166547135
C3,C7,1.7373815148571063
C7,C3,1.7373815148571063
C2,C9,8.308026303243942
C9,C2,8.308026303243942
C4,S3,4.602419910696092
S3,C4,4.602419910696092
S2,S3,5.82093302614428
S3,S2,5.82093302614428
D0,C1,6.2127639181804
C1,D0,6.2127639181804
C7,S3,1.8250739096344626
S3,C7,1.8250739096344626
C1,C5,3.272089981947962
C5,C1,3.272089981947962
S1,S2,4.777896722144758
S2,S1,4.777896722144758
C2,C5,1.9481032966219147
C5,C2,1.9481032966219147
C3,C6,4.818204656369986
C6,C3,4.818204656369986
D0,C5,3.732123729871216
C5,D0,3.732123729871216
