From,To,Beta
C7,S3,7.9096103019532364
S3,C7,7.9096103019532364
C2,C3,3.0891714390230325
C3,C2,3.0891714390230325
C5,C7,6.618483481251735
C7,C5,6.618483481251735
C3,C9,7.6734529386011765
C9,C3,7.6734529386011765
C6,C9,2.708429828812278
C9,C6,2.708429828812278
C3,C5,4.857407758854302
C5,C3,4.857407758854302
S1,S2,7.0317555477611835
S2,S1,7.0317555477611835
C7,C9,1.4033926517479771
C9,C7,1.4033926517479771
C6,C8,1.2077681684526196
C8,C6,1.2077681684526196
C2,C10,9.784817898337165
C10,C2,9.784817898337165
D0,C3,6.243616591980205
C3,D0,6.243616591980205
D0,C10,4.265767963610124
C10,D0,4.265767963610124
C8,C9,6.639065978357933
C9,C8,6.639065978357933
D0,S2,5.200236568038199
S2,D0,5.200236568038199
D0,C4,7.48684047435048
C4,D0,7.48684047435048
C5,C6,4.728200816826689
C6,C5,4.728200816826689
C7,S2,5.2842586804306615
S2,C7,5.2842586804306615
C4,S1,8.937738898932139
S1,C4,8.937738898932139
