From,To,Beta
C1,C10,40.0
C10,C1,40.0
C1,S3,40.0
S3,C1,40.0
C3,C10,40.0
C10,C3,40.0
C3,S3,40.0
S3,C3,40.0
C5,C10,40.0
C10,C5,40.0
C5,S3,40.0
S3,C5,40.0
C4,C10,40.0
C10,C4,40.0
C4,S3,40.0
S3,C4,40.0
C1,C9,40.0
C9,C1,40.0
C8,C10,40.0
C10,C8,40.0
C3,C9,40.0
C9,C3,40.0
C8,S3,40.0
S3,C8,40.0
C5,C9,40.0
C9,C5,40.0
C2,C10,40.0
C10,C2,40.0
D0,C10,40.0
C10,D0,40.0
C10,D1,40.0
D1,C10,40.0
D0,S1,40.0
S1,D0,40.0
S1,D1,40.0
D1,S1,40.0
C10,S1,40.0
S1,C10,40.0
D0,C5,40.0
C5,D0,40.0
C2,S3,40.0
S3,C2,40.0
C5,D1,40.0
D1,C5,40.0
S1,S3,40.0
S3,S1,40.0
D0,C3,40.0
C3,D0,40.0
C3,D1,40.0
D1,C3,40.0
C6,C10,40.0
C10,C6,40.0
D0,S3,40.0
S3,D0,40.0
S3,D1,40.0
D1,S3,40.0
D0,C8,40.0
C8,D0,40.0
C8,D1,40.0
D1,C8,40.0
C6,S3,40.0
S3,C6,40.0
D0,C1,40.0
C1,D0,40.0
C1,D1,40.0
D1,C1,40.0
C7,C10,40.0
C10,C7,40.0
C7,S3,40.0
S3,C7,40.0
C4,C9,40.0
C9,C4,40.0
D0,C4,40.0
C4,D0,40.0
C4,D1,40.0
D1,C4,40.0
C8,C9,40.0
C9,C8,40.0
D0,C7,40.0
C7,D0,40.0
C7,D1,40.0
D1,C7,40.0
C9,S1,40.0
S1,C9,40.0
