From,To,Beta
C7,S2,1.2165011656741387
S2,C7,1.2165011656741387
C2,C10,7.135950396523221
C10,C2,7.135950396523221
C2,C3,6.906636182429118
C3,C2,6.906636182429118
C3,C8,3.614054095528742
C8,C3,3.614054095528742
C3,S1,1.3182453960341132
S1,C3,1.3182453960341132
D0,S2,6.575219613050041
S2,D0,6.575219613050041
D0,C7,5.635183651816394
C7,D0,5.635183651816394
C5,C8,6.820002137072171
C8,C5,6.820002137072171
C3,C5,6.639984596458629
C5,C3,6.639984596458629
C3,C7,9.818201345070374
C7,C3,9.818201345070374
C1,C6,2.2041321305520096
C6,C1,2.2041321305520096
S1,S3,3.487900055711348
S3,S1,3.487900055711348
C2,C9,1.3317858660842208
C9,C2,1.3317858660842208
C2,S2,4.978964351675482
S2,C2,4.978964351675482
C9,S3,2.8341852300960797
S3,C9,2.8341852300960797
C8,S3,2.655614108627661
S3,C8,2.655614108627661
C4,C6,2.486375022409027
C6,C4,2.486375022409027
C4,S1,6.68491439863017
S1,C4,6.68491439863017
