From,To,Beta
C7,S3,5.737369010335233
S3,C7,5.737369010335233
C6,S3,3.743104184861985
S3,C6,3.743104184861985
C7,S2,8.833904625840468
S2,C7,8.833904625840468
C10,S3,1.939797390780959
S3,C10,1.939797390780959
C7,S1,2.6982144893621385
S1,C7,2.6982144893621385
C10,S1,8.168350048518386
S1,C10,8.168350048518386
C1,C4,9.431738804249333
C4,C1,9.431738804249333
C2,C4,1.57869993393239
C4,C2,1.57869993393239
C6,C8,2.258174759751323
C8,C6,2.258174759751323
C7,C9,7.674663139218202
C9,C7,7.674663139218202
C3,C5,5.933956954645036
C5,C3,5.933956954645036
C3,S2,9.328194267652968
S2,C3,9.328194267652968
D0,C9,3.9444200159754947
C9,D0,3.9444200159754947
C7,C8,2.811692578159806
C8,C7,2.811692578159806
C8,S3,5.142573240603491
S3,C8,5.142573240603491
C1,C10,7.932620063513465
C10,C1,7.932620063513465
C1,S3,5.415593582348026
S3,C1,5.415593582348026
C2,C8,7.73944226136258
C8,C2,7.73944226136258
