From,To,Beta
C3,C5,40.0
C5,C3,40.0
C4,C5,40.0
C5,C4,40.0
C1,C5,40.0
C5,C1,40.0
C3,C6,40.0
C6,C3,40.0
C4,C6,40.0
C6,C4,40.0
C2,C5,40.0
C5,C2,40.0
C1,C6,40.0
C6,C1,40.0
C2,C6,40.0
C6,C2,40.0
C5,S2,40.0
S2,C5,40.0
C3,S1,40.0
S1,C3,40.0
C6,S2,40.0
S2,C6,40.0
C4,S1,40.0
S1,C4,40.0
C3,C8,40.0
C8,C3,40.0
C1,S1,40.0
S1,C1,40.0
C4,C8,40.0
C8,C4,40.0
C2,S1,40.0
S1,C2,40.0
C1,C8,40.0
C8,C1,40.0
C2,C8,40.0
C8,C2,40.0
D0,C4,40.0
C4,D0,40.0
C4,D1,40.0
D1,C4,40.0
D0,C3,40.0
C3,D0,40.0
C3,D1,40.0
D1,C3,40.0
C5,C7,40.0
C7,C5,40.0
S1,S2,40.0
S2,S1,40.0
D0,C5,40.0
C5,D0,40.0
C5,D1,40.0
D1,C5,40.0
