From,To,Beta
C6,C7,4.196962960410358
C7,C6,4.196962960410358
C5,C6,9.025444173034339
C6,C5,9.025444173034339
C1,C10,7.866029860098975
C10,C1,7.866029860098975
C9,S2,9.500516584641408
S2,C9,9.500516584641408
C2,C9,1.5211699504419993
C9,C2,1.5211699504419993
C4,C8,8.655511268862508
C8,C4,8.655511268862508
C7,S1,8.909586530716526
S1,C7,8.909586530716526
C8,C10,3.902522527574642
C10,C8,3.902522527574642
C10,S1,9.679121179342545
S1,C10,9.679121179342545
C2,C10,6.11149533183401
C10,C2,6.11149533183401
C8,S1,2.0949586833940956
S1,C8,2.0949586833940956
C1,S2,9.10003347805497
S2,C1,9.10003347805497
C6,C10,3.7028944098476795
C10,C6,3.7028944098476795
C1,C6,9.415971960584717
C6,C1,9.415971960584717
C9,C10,2.8511409635142604
C10,C9,2.8511409635142604
C1,C7,2.6181742677865185
C7,C1,2.6181742677865185
C5,C7,3.1095539851573144
C7,C5,3.1095539851573144
C5,S1,4.849317163149168
S1,C5,4.849317163149168
