From,To,Beta
C8,C10,2.839198967176414
C10,C8,2.839198967176414
C5,S1,1.2565916466959028
S1,C5,1.2565916466959028
C1,C3,2.636511438830881
C3,C1,2.636511438830881
C2,C7,8.975174165315462
C7,C2,8.975174165315462
C2,C4,8.412170185033727
C4,C2,8.412170185033727
C1,C8,1.9000817481033514
C8,C1,1.9000817481033514
C6,C8,8.937405477920457
C8,C6,8.937405477920457
D0,S3,1.7920760282548276
S3,D0,1.7920760282548276
C7,C8,3.744995368164936
C8,C7,3.744995368164936
C4,S1,8.934769030466052
S1,C4,8.934769030466052
C1,C6,6.936001368591837
C6,C1,6.936001368591837
C3,C7,3.7578154331014204
C7,C3,3.7578154331014204
D0,C7,3.8942464972664728
C7,D0,3.8942464972664728
C4,S3,2.5064582236135173
S3,C4,2.5064582236135173
D0,C3,8.18973877470751
C3,D0,8.18973877470751
C10,S2,8.170963819140798
S2,C10,8.170963819140798
C5,C8,4.913774045993438
C8,C5,4.913774045993438
C5,S2,9.172023900692297
S2,C5,9.172023900692297
