From,To,Beta
C3,C5,40.0
C5,C3,40.0
C4,C5,40.0
C5,C4,40.0
C1,C5,40.0
C5,C1,40.0
C3,C6,40.0
C6,C3,40.0
C4,C6,40.0
C6,C4,40.0
C9,S1,40.0
S1,C9,40.0
C4,C9,40.0
C9,C4,40.0
C2,C5,40.0
C5,C2,40.0
C1,C6,40.0
C6,C1,40.0
C5,S1,40.0
S1,C5,40.0
C4,S2,40.0
S2,C4,40.0
C2,C6,40.0
C6,C2,40.0
S1,S2,40.0
S2,S1,40.0
C3,C9,40.0
C9,C3,40.0
C3,S2,40.0
S2,C3,40.0
C6,S1,40.0
S1,C6,40.0
C2,C9,40.0
C9,C2,40.0
C1,C9,40.0
C9,C1,40.0
C1,S2,40.0
S2,C1,40.0
C6,C10,40.0
C10,C6,40.0
C5,C10,40.0
C10,C5,40.0
C2,S2,40.0
S2,C2,40.0
C10,S1,40.0
S1,C10,40.0
C3,C8,40.0
C8,C3,40.0
C4,C8,40.0
C8,C4,40.0
C6,C9,40.0
C9,C6,40.0
C4,C10,40.0
C10,C4,40.0
C3,S3,40.0
S3,C3,40.0
C4,S3,40.0
S3,C4,40.0
C1,C8,40.0
C8,C1,40.0
C5,C9,40.0
C9,C5,40.0
C1,S3,40.0
S3,C1,40.0
C2,C8,40.0
C8,C2,40.0
C7,C9,40.0
C9,C7,40.0
C8,S1,40.0
S1,C8,40.0
D0,C4,40.0
C4,D0,40.0
C3,C10,40.0
C10,C3,40.0
C4,D1,40.0
D1,C4,40.0
S1,S3,40.0
S3,S1,40.0
C2,S3,40.0
S3,C2,40.0
D0,C3,40.0
C3,D0,40.0
C3,D1,40.0
D1,C3,40.0
