From,To,Beta
C6,S3,5.417424940115966
S3,C6,5.417424940115966
C8,S1,8.393003349657665
S1,C8,8.393003349657665
C4,S3,6.560992315338798
S3,C4,6.560992315338798
C3,C8,9.689607887994882
C8,C3,9.689607887994882
C6,C8,5.45048658716221
C8,C6,5.45048658716221
D0,C10,1.2178562554156278
C10,D0,1.2178562554156278
C3,S3,3.391715331445723
S3,C3,3.391715331445723
D0,C3,4.1017402911546235
C3,D0,4.1017402911546235
C1,C4,4.299428533077079
C4,C1,4.299428533077079
C4,C10,8.160547313462574
C10,C4,8.160547313462574
C6,S2,4.126633843567088
S2,C6,4.126633843567088
C3,C9,4.570067321612719
C9,C3,4.570067321612719
S2,S3,4.097273099094744
S3,S2,4.097273099094744
C4,S2,4.4977398550361585
S2,C4,4.4977398550361585
C7,S2,1.9339399741644896
S2,C7,1.9339399741644896
C2,C4,2.204842645175351
C4,C2,2.204842645175351
C2,C7,6.367086160563993
C7,C2,6.367086160563993
C8,C9,7.271207395861609
C9,C8,7.271207395861609
